sentences_parsed,Expresses a need?
:lol: no paul gascoigne/oliver reed type amounts!!,0
so i'll be avoiding that one.,0
that's life i suppose..!,0
"i'm type ii diabetic, been diagnosed a year.",0
thanks for the reply.,0
so would go with the prescribed amount.,0
leeks may play my acid up.,0
i did and felt wonderful - no pain.,0
unless you are being funny and i missed it?,0
"i do catch coughs, colds, bugs easily .",0
read through it and see your own results.,0
i don't understand why.,0
"in any case, it won't hurt to try.",0
it was more like a paleo diet.,0
"yes, i am taking omeprazole to protect my stomach.",0
with diet and excercise!,0
that's very helpful.,0
topped it off with 2 teaspoons of soured cream.,0
but surely thats ok.,0
any diabetic here who is doing bodybuilding?,1
i get no support from my team they are awful.,0
none of them know that i am t2.,0
avoid cola as it's a bladder stimulant.,0
they are inviting low carbers themselves so thats great.,0
i will talk to the pharmacist first.,0
dave many thanks to everyone for your replies.,0
but took my bloods because i was there.,0
just tested my 1h ppbs.,0
it looks like i'm experiencing similar symptoms.,0
are nuts and seeds ok?,1
i am not sure backing up my bolus works.,0
yes it is - thanks.,0
a bit of good news for a change.,0
this fits my stepfather completely!!!,0
all meats come with bread unless with yorkshire pudz.,0
should i get a new one?,1
thanks all for responding.,0
and the icecream isn't even worth the name.,0
thank goodness for copy and paste :lol:,0
give it a go.,0
thank you so much for your reply!,0
the lantus should be keeping my levelish.,0
my current fasting blood glucose level is around 5 mmol.,0
off to order psyillium.,0
has anyone else had this experience?,0
"enclave - dead wildlife eh, interesting .",0
i wonder if vimto goes well with vodka?,0
thank you all for your posts.,0
i take metformin 500 mg three times a day.,0
many thanks hi all i'm so sorry.,0
it is the swanson ultra double strength r-fraction ala.,0
any other similar sufferers out there please?,0
thank you so much for your reply.,0
help !!!!,1
"sorry to rant, thank you for your help.",0
click to expand... are you on any other medication?,0
they're great and zero carbs.,0
this occurs in about 10% of patients.,0
thank you for your reply!,0
have i missed something or is my gp correct?,1
weird it was lower?,0
can anyone help me with this one?,1
"hi, im fairly new to all this.",0
is it okay to snack on cheese?,1
:roll: :cry:,0
is it the wee hours when you're usually sleeping?,0
thanks for your reply.,0
well to me anyway.,0
have to walk now before it gets too late.,0
click to expand... hi what is testosterone ?,0
thanks for all your support and advise.,0
are you getting more natural fats into your meals.,0
what amazing and helpful and so prompt responses!,0
"made me feel terrible really, sluggish and tired.",0
this is really worrying me.,1
thank you all for your replies.,0
is there anything i can do?,0
