thread_id,title,author,startDate,replies,views,question
thread-156197,Carbs And The Doctor/dn,Flora123,"Sep 9, 2018",202,"273,014","So I have an appointment coming up and I will be quizzed about my diet (low carb and working very well). What do you say when you are lectured about eating carbs and how important they are. Im fed up smiling sweetly and agreeing. I keep getting told I need carbs yet doing just fine on 20g a day. Thanks x Mr_Pot said: Apart from the Eatwell Guide that was part of a Desmond type course, nobody has ever suggested eating carbs to me. My DN is a LC enthusiast but even so we have never discussed how much carbs I eat. Don't HCPs usually tell you to cut down on things or eat more fruit and veg? Are you saying they are actually prescribing more carbs as a cure for something? Click to expand... I am always shown the Eatwell guide and shown the shopping list which includes pasta and bread! I always get a bit tongue tied and nervous for some reason and just nod and smile. Im apparently a bit of a mystery to them but they dont seem to link my low carb eating to my low BG . In fact when I mentioned the challenges of eating out (cant remember why we were discussing that) I was told to eat the pasta but dont have dessert! Resurgam said: My response to the 'you need carbs' comment has always been - 'Really? What for?' Click to expand... I was told it was for my brain... Brunneria said: I have tried various approached over the years, but most recently I have avoided the term Low Carb and High Fat, or any other trigger words that may set off an ignorant knee jerk reaction. Last time I used the words 'I control my carbs, which is what brought my blood glucose down to normal levels'. And since they had just seen my perfectly normal HbA1c they just let it go, and moved on to the next subject. Either that or they didn't 'get' what I was talking about. Of course, if a medical professional wanted to discuss things in more depth, I would happily do so. Probably in enough detail that they ran screaming from the room. But until that happy day arrives, I can say 'I control my carbs' and they can hear 'she's eating carbs which is a good thing, cos of 50 reasons I repeat by rote which aren't actually valid', while what I actually MEAN is 'I control my carbs well enough that I have virtually eliminated them, and feel soooooo much better for it!' Click to expand... I really like that idea. Thanks."
thread-96507,Seeing Yellow Spots,wookie101,"Mar 2, 2016",14,"74,287","Hi All, I've not posted for a little while, but I have a questions over the past 10 days I've been noticing something odd with my eyesight, in that I occasionally see yellow spots (not floaters), and at other times I've noticed in the far corners of my vision (what when I used to have hair) would have been hair beginning to encroach into my vision... But I have short hair nowadays so there is no hair to sweep away... Any one else had this? I had my 6 monthly diabetic appointment today, all spot on still hbA1c 39 so still in control but when I mentioned my eyesight the nurse suggested I go see an optician, good advice, but I thought I'd check that out with the good folks here. Update: So I finally went to the optician (I almost didn't' as the yellow spot went away), we'll he threw all his toys and the kitchen sink out of the pram and told me to get to eye casualty in Southampton hospital immediately! And he couldn't understand why the diabetic nurse hadn't given that advise! I must say they were all very nice there at the hospital, it was an A&E unit, I took my ticket and waited my turn. I got seen by a nurse and they took the same sort of pictures of my eye as the yearly diabetic screening one, however I got to see the results (as well as a picture, there was some computer coloured graphics) this showed that there was a difference between my eyes. Long storey short there was indeed some damage to one of them. As a result almost 3 weeks on I have now received an appointment in 4 weeks time for a Fundus Flourescein Angiography they told me that this test should identify the damage. Just asking has anyone had this test, what I really want to know if can I drive afterwards, not straight away but perhaps 2-3 hours later? And well what was the test like? Hi JasminDolly, Yes that's exactly what I was seeing, I also thought that the pavement had been stained yellow and then realised that the yellow spot/sploge (large tennis ball sized) was following me around wherever I looked... If that is what you are seeing I would do what I did and just go to a hospital that has an Eye A&E section (a local optician should know where the nearest one is to you) and let them take a look at you... I did walk into an optician and describe what I was seeing first if that might help you decide, but eye A&E are the experts. As I mentioned up above, it turns out that I do have some sort of damage (so just as well that I had taken this seriously and reported it) which is why they are doing further tests, although as an in patient and not an emergency, I was also noticing like the hem of a black curtain just out of my vision range on the edges of my eyesight, occasionally... Hope that helps. Hi Mohammad, If you've seen some specialists and they've passed you as ok, then nothing to worry about. The eyes hospital that I went to as I mentioned found some damaged, just out of my visual range, which at night as my pupils open up a bit more, caused me to see whispers and occasional yellow spots... They did something like an MRI test of my eyes and I can see that they 2 eyes are different with one having a slight disturbance (round) looks like a blister in one eye, but the experts they said, luckily its right on the edge of my visual range and should it ever burst just to go back in to them. They weren't worried I'd go blind or anything. So I'd say enjoy your holiday, protect your eyes( sunglasses etc.,) and if you want a 2nd opinion visit your local eye hospital and just say what you're seeing... They should be very thorough with their test. Hope tht helps? Hi, I went to an eye hospital, that had an eye A&E, track down the nearest eye hospital with an eye A&E and go in telling them what you're seeing and they ougth to start doing test. What mine was, is a blister in my eye, but just out of the field of vision."
thread-13577,Normal fasting blood glucose level?,SophiaW,"Mar 3, 2010",7,"75,277","If a non-diabetic does a test after having fasted for 14 hours is a reading of 5.8mmoL considered normal? I somehow had in my head that a fasting reading should be in the 4s for a non-diabetic. I've done two fasting tests in the last two weeks and both were 5.8 mmoL. When Jess was first diagnosed four years ago I did a test simply to see if it hurt so I'd understand what it was like for her and I remember that test being 4.something. I've also tested myself once a couple of years ago because we thought there was a problem with her test meter, the reading then too was 4.something. When I did the test again a couple of weeks ago and got a reading of 5.8 I thought that was higher than it should be. I saw the nurse today for a general check up (I have to once a year for my repeat prescription) and my blood pressure has gone higher than it usually is (130/74 from 110/74) so she's sent me off to have some blood tests done. One of the things she's testing for is blood glucose. I didn't say anything to her about having done a couple of tests myself already. I don't think I'm developing diabetes because I don't show any symptoms, perhaps it's a result of lower exercise levels (I used to be very active, now I'm only moderately active) and perhaps stress or lack of sleep. I routinely test Jess at between 1am and 2am 3 to 4 nights a week and sometimes more often if she's running on a low period, this I've been doing for the past 4 years so perhaps it's all catching up with me now. I know stress affects blood glucose and blood pressure, does tiredness to the same?"
thread-25081,NEUROPATHY REVERSING?,Grazer,"Nov 9, 2011",28,"76,304","Hi, a friend of mine was diagnosed type 2 a few months back. He has a tingling in his toes, but no blackening or outwards signs of neuropathy. He now has very well managed BGs, but on diagnosis he was high with an HbA1c of 11.2 so it could be he had early neuropathy at that stage. The question is, now he's down to very good levels, if it WAS early neuropathy, is it likely to fix itself? Anyone have experience/knowledge of this? Thanks for that lovinglife, I'll pass it on. Thanks all, useful info"
thread-4227,"To Weetabix or not to Weetabix, that is the question?!",Paperdos,"Oct 2, 2008",30,"76,326","Hi ppl, I have a problem which i hope someone could shed some light on. Yesterday before breakfast BG's was 7.3 , then i had 2 Weetabix with semi-skimmed milk and a glass of water. When I took my bloods five and a half hours l ater my BG's was 8.7! I would have thought that Weetabix, plain with no sugar, sweetener/ honey / fruit would have given me good results, obviously not. And, given the length of time between eating & my next test I would have thought it would have been certainly lower then 8.7. I'm diet controlled only. Any suggestions gratefully received. Thank you in advance Wow, lots of info ppl, great, thanks. So my options are don't go near cereals or try just 1 weetabix & I love cinnamon and vanilla, hmmm. I think i'll try that. But, like you all said if my BG's are still high like that it'll be time to cut out the cereals from my life. Boo hoo! but if it's got to be done, so be it. I did contemplate a GI diet long before i was diagnosed & the reason i wanted to do it was because of the strong family history of diabetes. But, like New Years' Resolutions it never got started & here i am. I'm not on any diabetes meds & really hope i can control it myself, i take more than enough meds as it is. I think i might have a GI Diet book somewhere, when i find it i'll get started. thanks everyone for your advice Karynn Jackie is exactly right. Even before my dx of diabetes food was a minefield. All foods that are good, nutritious my body doesn't like & I suffer for it. Can't do bran, vegetables - not a good effect, certain fruits are a definate no go area! Because everyone says that a lot of people that are overweight skip breakfast, i always eat a 'good' breakfast, or so i thought. Karynn Yes I can do scambled egg. The funny thing is, i've only ever learned how to make it in the microwave. I used to make it for my mum. I'll give it a go, it's been years since i've made it. thanks for the suggestion"
thread-24981,Difference between FLaxseed and Linseed.,simply_h,"Nov 4, 2011",14,"225,989","Hello All, Hope we are well. I am confused between flaxseed and Linseed. I having been buying pre ground/milled flaxseed from a health shop (H&B) for 4.99 for 425grms. But have been told that Golden Linseed (which is a whole seed) is the same stuff, but you have to grind it yourself in a coffee grinder AND it becomes Flaxseed Is this True.??? As I have checked the carb content of Ground/ Milled Flax per 100gram = 1.7grams Golden Linseed per 100gram = 34.25grams Is this correct OR am I missing something here??? As if Golden Linseed has that many carbs in it, I shall be staying well away and stick to the Ground/Milled Flax instead. Any ideas, Cheers Simply_h Any ideas on the above. Hello, Thank you WhitbyJet. Cheers Simply_h"
thread-25879,Foot massagers..GOOD or BAD,LWA,"Dec 27, 2011",7,"88,344","For a gift i received a Homedics Foot massager and wanted to know if these had an adverse effect on diabetics? I appreciate that diabetics need to look after their feet and nerve damage can occur etc but i would of thought that an electronic foor massager would HELP with circulation and AID good care!....it does say in the instructions ""NOT recommended for use by Diabetis"" however this could be protecting the manufacturers interest rather than be medical ly proven Does anyone know the effects that the massager would have....i would assume that it will increase circulation so will have a positive effect or on the flip side im not sure if it could possible cause nerve damage?? Thanks for your advice and experiances. As 'smidge' noted i also think people over generailise about diabetes and possible complications and providing we keep a good balance this reduces the chances. i have seen no-where suggesting that foot massagers (and the sensastion of) can contribute towards nerve damage and considering my general good health i think i will continue to use mine in accordance with recommendations."
thread-39563,Guys if i stop insulin what will happen ????? Or should i re,Sameer,"Apr 8, 2013",198,"80,668","Guys i think my insulin is making me sick so giys if i stop insulin what will happen because from tommorow i am stopping my insulin .... Guys i need input pls help me and advice me ...... Do u think my sugar level will go up .... Actually i want to set my insulin levels again .... So i am stopping it or should i reduce it to good level ..... I really dont know i think too much insulin in my body making me sick !!!!!! Newly daignosed , novomix 30 , 21units in morning and 17 at night , have issues in eating and sleeping pls help me , why my morning BS is always high ???? Late night eating is the problem , so please help me guys Sent using Ipad . Re: Guys if i stop insulin what will happen ????? Or should I really dont know , yes i want to lower my dose http://www.diabetes.co.uk/insulin-resistance.html What is that i am having brain fog !!! Difficulty in concentration pla guide !!! Newly daignosed , novomix 30 , 21units in morning and 17 at night , have issues in eating and sleeping pls help me , why my morning BS is always high ???? Late night eating is the problem , so please help me guys Sent using Ipad . Re: Guys if i stop insulin what will happen ????? Or should No i mean if i stop anf if my BS rises than i will start it I have doubt that the bs will not rise How a person dies ??? If my bs rises as i stopped i will start using what u guys say ??? Newly daignosed , novomix 30 , 21units in morning and 17 at night , have issues in eating and sleeping pls help me , why my morning BS is always high ???? Late night eating is the problem , so please help me guys Sent using Ipad . Re: Guys if i stop insulin what will happen ????? Or should I am feeling ok I have not taken it 6 hours ago !! Newly daignosed , novomix 30 , 21units in morning and 17 at night , have issues in eating and sleeping pls help me , why my morning BS is always high ???? Late night eating is the problem , so please help me guys Sent using Ipad . Re: Guys if i stop insulin what will happen ????? Or should Its been 2 days and my reading are normal why ???? Newly daignosed , novomix 30 , 21units in morning and 17 at night , have issues in eating and sleeping pls help me , why my morning BS is always high ???? Late night eating is the problem , so please help me guys Sent using Ipad ."
thread-74986,Sugar free soft drinks / mixers with NO ASPARTAME!,rowan,"Apr 7, 2015",143,"81,888","I'm trying to find mixers, especially lemonade and tonic water, and other soft drinks that have no aspartame, and it's not easy, they all seem to use the stuff! I won't touch anything that contains aspartame, and have been through every sugar free lemonade and tonic water on the tesco website and every single one (apart from tesco cloudy lemonade) has aspartame! I'm sure there must be some somewhere, and I know I'm not the only one here to not want any aspartame, so hoped we could list all the relevant drinks we know here? Lazybones said: Like yourself I also try my best to avoid Aspartame after I discovered the dangerous toxic propertied that this 'nasty cheap sugar substitute' does inside the human body when Aspartame gets warmed up inside the body. It is very difficult to find alternatives but I found that 'Sainsbury's' cheap own brand Lemonade doesn't use Aspartame but instead uses 'Sucralose' which is considered as SAFE. Here in the UK it's more expensive that the cheaper alternatives costing 20p for a 2 litre bottle !!!! Click to expand... There's no Sainsbury near me but will have a look if I go near any on my travels in the better weather, thanks There's only one supermarket near me, Morrisons about 8 miles away, will have a look tomorrow when I go to town to get my eyes tested and report back if I find any (Suitable drinks, not eyes!) What annoys me is that there are so many people avoiding it now, but manufacturers won't take any notice! http://articles.mercola.com/sites/articles/archive/2014/04/16/aspartame-diet-soda.aspx Lesser of two evils. I'd just like a gin and tonic, a vodka and lemonade or a barcadi and coke now and then with no aspartame or sugar, it doesn't seem a lot to ask. I have bottles of spirits just sitting there waiting for a suitable mixer KateA said: @rowan shopping takes an age with all the label checking. I am considering putting a magnifying glass in my handbag as the damned writing is so small. No, that won't look eccentric at all. Click to expand... I do my shopping online, much easier to see label info and I can add to the list throughout the week. But when I do go to the shop I can't read labels any more (I swear they're getting smaller!) and never remember to take reading glasses with me. The magnifying glass might be the answer http://www.ebay.co.uk/itm/75-MM-HANDHELD-MAGNIFYING-GLASS-5X-HAND-MAGNIFIER-MAGNIFICATION-READING-TOOL-/151617751709?pt=LH_DefaultDomain_3&hash=item234d1f4a9d Vimto Zero uses sucrolose, my favourite fizzy I really hope they never change to aspartame, I'd hate to have to give it up completely! As it is I only have it occasionally, don't really like using any sweeteners, but needs must, especially for mixers! I wonder if Vimto goes well with vodka? hels said: Vodka, lime & soda Either small dash of lime cordial or squeeze of fresh lime. Click to expand... Lime cordial has either sugar or aspartame in it. Went into Morrisons today and they have their own brand aspartame free tonic water and lemonade, so I got those. I also saw a coke with green writing made with stevia, anyone here tried it?"
thread-26660,Non diabetic levels,Marzeater,"Feb 5, 2012",11,"82,059","What exactly are non diabetic levels? I did a search on this site and it found every reference to non, levels, and diabetic but not all in the same post. :?"
thread-156345,Blood Too Thick To Measure?,Stillfighting,"Sep 13, 2018",23,"92,413","Hi - hoping someone can help..... am type 2 , controlling with diet ( mixed success). Diagnosed 2014. Been measuring since then. This year a number of times, I try to measure BG as normal, but when I prick my finger and place drop on strip, my blood is so thick it doesnt even travel on the stick to the reader to get a reading! This is really worrying me. Ive wasted quite a few strips as well but obviously am more concerned by what this must be doing to me. Ie Thick blood cant be good for me inside.I have tried drinking loads during the day ( to the point am constantly going to the loo, and pee is clear ....so not dehydrated) When I finally get a reading, ( repeating a few times) its generally around 6.5. Not perfect , but not hideous? Has anyone else had this? Any idea as to causes? ( other than the well youve got diabetes...)??? Thanks Hi Antje- yeah sorry I wasnt describing it well: thats what happens normally- blood touches end of stick and it sucks it up. But when I have this thick blood it kind of just sits there on top and isnt sucked up so I assume its too thick to do so. Hi Guzzler- thanks but I dont think its technique as Ive been measuring for 4 years no problem. It happens occasionally and the blood does seem thicker than normal. Ill definitely revisit the technique to check. I am worried about thicker blood though and wondered if anyone has experienced it? Especially as reading around the subject (although limited info) suggests link to heart attacks Guzzler said: I would be tempted to mention it to the GP in your shoes, if only to put my mind at rest. I am a smoker so my blood is said to be thicker (no idea if that is true or not) but I have only ever failed to get enough blood into the strip or rather the blood has not been taken all the way up the strip, just once. Don't sit and stress on it, ask your DN/GP or better still a phlebotomist if you have blood draws done by one. Good Luck. Click to expand... Yes I think after reading all the threads its off to the docs I go- I am a bit reluctant as on original diabetes diagnosis I was about to be put on about 4 different meds! But I need to face up to the fear and go - Thankyou all! Nondipoo said: I have a mutated prothrombin gene, the other one, rather than V Leiden. My blood sometimes seems very thick. I take turmeric capsules & occasionally a soluble aspirin, which seems to help with the flow. Occasionally it spurts out when I prick my finger. My d diner reading is 3, but they dont recommend any anticoagulant. I also have a condition called MGUS . Blood sugar stays around 5.8 to 6.5 normally. Agree that you should get the clotting screen done just to check. Click to expand... Will do - thanks. Whatever it is , its obviously not something common so Ill see what they say, thanks Indy51 said: I've found taking fish or flax oil help thin blood. Click to expand... Thanks - will try this - it cant hurt anyway Nondipoo said: I have a mutated prothrombin gene, the other one, rather than V Leiden. My blood sometimes seems very thick. I take turmeric capsules & occasionally a soluble aspirin, which seems to help with the flow. Occasionally it spurts out when I prick my finger. My d diner reading is 3, but they dont recommend any anticoagulant. I also have a condition called MGUS . Blood sugar stays around 5.8 to 6.5 normally. Agree that you should get the clotting screen done just to check. Click to expand... Hi - I just bought turmeric capsules so will make sure to take them, thank you"
thread-30948,Does metformin mean no more drinking?,test_positive,"Jul 3, 2012",29,"99,269","I am recently diagnosed Type 2 and my doctor has prescribed me metformin. I read the leaflet and it says not to have alcohol while on this medication. As I expect to be on this for life this means no more alcohol. Ever again. :thumbdown: I don't drink much. My wife and I have perhaps one (small) glass of wine per week. But we really enjoy it. Does anyone have experience of this? Should I really stop drinking completely now I'm on metformin? The leaflet says ""Alcohol may increase the risk of lactic acidosis especially if you have liver problems or if you are undernourished."" I do not have liver problems and am not undernourished. Thank you for any guidance you can provide! Thank you! So good to hear. You never know with these leaflets how much of it is them trying to cover themselves. I am starting on 500mg and then moving to 3 x 500mg a day. I will watch out in case there are any problems with my moderate drinking. I'm glad that diabetes won't take this pleasure away! Thank you. Thanks everyone. You've put my mind at rest. And I love the way some turned it into a discussion about where to find the cheapest wine. Cheered me up no end Thank you!"
