,thread_id,thread_title,thread_link,thread_author,thread_startDate,thread_replies,thread_views,post_id,post_username,post_userTitle,post_userNbMessages,post_userLikesReceived,post_userTrophyPoints,post_DateTime,post_like,post_agree,post_useful,post_funny,post_informative,post_friendly,post_optimistic,post_hug,post_number,post_messageText,post_quoteText
179439,thread-60661,Help a business and diabetes supporter out!,https://www.diabetes.co.uk/forum/threads/help-a-business-and-diabetes-supporter-out.60661/,ciaramoh,"Jul 1, 2014",5,691,post-580281,ciaramoh,Type 1 Well-Known Member,64,9,48.0,"Jul 1, 2014 at 5:42 PM",0,0,0,0,0,0,0,0,#1,Hi guys! My uncle has just set up a first aid company and it would be amazing if you could follow him on twitter! He supports DiabetesUK and JDRF and has been donating money every month for years! His twitter is: @FirstAidDevelop Honestly would mean so so much! Thank you! Sent from the Diabetes Forum App,
227984,thread-21535,Eat More Fruit!,https://www.diabetes.co.uk/forum/threads/eat-more-fruit.21535/,superlec,"Jun 1, 2011",30,"4,689",post-194498,Patch,Type 2 Well-Known Member,"2,981",157,103.0,"Jun 2, 2011 at 1:18 PM",0,0,0,0,0,0,0,0,#15,"Ka-Mon - I've cut n' pasted this from a previous post: May not be of interest to many - but being aware of this has definitely helped me, and may help others.","I said: My theory, is that my body can deal with one of incidents of high (ish) carb intakes much better than it can deal with a contstant bombardment of carb intake at low/moderate levels. Think of it as my body storing up the ability/strength/energy (but don't get energy confused with calories!) to deal with carbs on the odd ocassion. But if it is bombarded with carbs daily, it does not have the time to recover between bouts, and my BG creeps up. A spike never fully recovers back to normal pre-carb levels, and the next low (ish) intake of carbs causes another spike, with the original spike only half recovered. Now, these spikes may not even push my BG up by more than 1mmol, but if it only recovers by 0.5mmol before the next small spike, the Cumulative Effect starts to take hold. The Cumulative Carb Effect. (Copyright: Patch 2011). Click to expand..."
25199,thread-157842,Currently in the USA and struggling to read labels,https://www.diabetes.co.uk/forum/threads/currently-in-the-usa-and-struggling-to-read-labels.157842/,BambinaUK,"Oct 28, 2018",2,275,post-1908799,lost.dragonist,Newbie,2,0,1.0,"Oct 28, 2018 at 3:14 AM",0,0,0,0,0,0,0,0,#2,"Every nutrition label is required to have grams of carbs per serving on it. This should be on the left right after ""total carbohydrates."" The percentage is based on an assumed average diet consisting of 2,000 calories and whatever kind of macros the government decided. Pretty much everyone should ignore the percentages on the labels Knowing typical oatmeal, the 28 grams you're talking about should be the carb content for a 1/4 cup (~40 grams) of uncooked oatmeal.",
208332,thread-40862,metformin,https://www.diabetes.co.uk/forum/threads/metformin.40862/,chocolate cups,"May 10, 2013",5,697,post-380366,chocolate cups,Member,5,0,21.0,"May 10, 2013 at 10:09 AM",0,0,0,0,0,0,0,0,#1,"I was dignosed t2 last September and my hba1 was 7.0, ive stopped eating the stupid amount of chocolate and I eat muesli and try to be good. my readings on my own meter are usually between 6.7 and 9.2. I think I would like to try metformin and am due to see the doctor next month.can I request to go on metformin or will the doctor refuse me as I am overweight.",
152089,thread-77439,STEROID TREATMENT,https://www.diabetes.co.uk/forum/threads/steroid-treatment.77439/,Deskdoll,"May 20, 2015",6,498,post-857527,Deskdoll,Type 2 Well-Known Member,66,134,73.0,"May 20, 2015 at 10:11 PM",2,0,0,0,0,0,0,0,#7,"Thanks MrsP. It did spook me though. I will take them first thing I think. My bs reading was a massive 19 half an hour ago. Mind you I was so fed up with everything I did have some syrup sponge and cream and three pieces of chocolate after dinner. It's the first time I've fallen off the wagon since starting LCHF. Deep breath, shoulders back and a fresh start tomorrow. DDx",
167547,thread-57702,Continuous glucose meter costs?,https://www.diabetes.co.uk/forum/threads/continuous-glucose-meter-costs.57702/,theedom83,"May 4, 2014",26,"2,710",post-553379,Spiker,Type 1 Well-Known Member,"4,693","8,441",178.0,"May 28, 2014 at 12:46 PM",0,0,0,0,0,0,0,0,#11,"I use two pieces of Tegaderm (waterproof vapour permeable dressing that I get on prescription) and I put them on my skin and overlapping part of the sensor, on each side of the sensor, leaving the middle third or half of the sensor clear for heat dissipation. This protects and preserves the sensors own sticky pad. Every week I change the 2 dressings very carefully as the sensor sticky pad gets weak and can easily pull off during this operation. Sent from the Diabetes Forum App",
166258,thread-67849,sickness  bug,https://www.diabetes.co.uk/forum/threads/sickness-bug.67849/,louisekitson75,"Nov 23, 2014",5,615,post-685337,louisekitson75,Type 1 Newbie,3,2,43.0,"Nov 23, 2014 at 3:44 PM",2,0,0,0,0,0,0,0,#6,"Thank you for your advice she's now stopped being sick ,sugars are stable ,she says she feels sick but has stopped last time sge was sick was 11 o clock thus morning so hoping bug is out of her system thanks for the helpful advice",
40914,thread-147748,logging in on main site,https://www.diabetes.co.uk/forum/threads/logging-in-on-main-site.147748/,ally1,"May 21, 2018",32,"1,124",post-1787502,,I reversed my Type 2 Expert,"8,208","4,944",198.0,"May 21, 2018 at 9:53 PM",0,0,0,0,0,0,0,0,#9,"@ally1 - Glad you got here in the end. If this persists for you, could you let me know and I'll raise it with the techies. @therower - I must admit it's been a bit laggy for me tonight too.",
228404,thread-27844,Any ideas please?,https://www.diabetes.co.uk/forum/threads/any-ideas-please.27844/,Ali H,"Mar 19, 2012",21,"1,742",post-257588,Daibell,LADA Master,"10,519","6,592",298.0,"Mar 19, 2012 at 5:41 PM",0,0,0,0,0,0,0,0,#15,"Hi. Answering one part of your question i.e. having c-peptide and GAD done privately, there is one company that comes up in a Google search i.e. MediChecks. The cost of each test could be around 200. I have no connection with this company but believe it may be the only one offering these tests directly to the public; I may be wrong?",
19805,thread-159494,Really confused and lost!,https://www.diabetes.co.uk/forum/threads/really-confused-and-lost.159494/,legolgel,"Dec 16, 2018",38,"1,252",post-1944453,torchman2,Well-Known Member,75,26,18.0,"Dec 17, 2018 at 6:06 PM",1,0,0,0,0,0,0,0,#29,"What do you want to know? Would be useful to know what you eat now (foods and total calories per day), plus what you ate before you were diagnosed. Sounds like you went too fast, too soon. Slow and steady wins in the long term.",legolgel said: I'll glad to hear more about this! Click to expand...
195021,thread-51502,daft question but can you put cinnamon and grated apple in porridge?,https://www.diabetes.co.uk/forum/threads/daft-question-but-can-you-put-cinnamon-and-grated-apple-in-porridge.51502/,captainpixie,"Jan 17, 2014",25,"2,783",post-465023,captainpixie,Type 2 Well-Known Member,134,183,83.0,"Jan 17, 2014 at 1:17 PM",0,0,0,0,0,0,0,0,#3,"really, I thought that was ok to have! (I dont have the off the shelf stuff, we just by the oats with nothing added to it, it's a scott thing, Mum would go nuts otherwise as she's a Scott)",Squire Fulwood said: Surely the cinnamon and apple can't be a problem can they? I would suspect that the porridge is the only problem. I just checked the box which is (still) in the cupboard and it is two thirds carbs. Click to expand...
206273,thread-43303,Where is Southport GP?,https://www.diabetes.co.uk/forum/threads/where-is-southport-gp.43303/,Anonymous,"Jun 16, 2013",14,"1,176",post-395087,IanD,Type 2 Well-Known Member,"2,427","1,032",198.0,"Jun 17, 2013 at 12:47 PM",0,0,0,0,0,0,0,0,#12,The report was entirely believable - even if a protocol was breached. I can repost the OP or PM it if anyone wants it. It would be an encouragement to us all if GPs were prepared to do such small-scale trials and so get the confidence in the diet.,
253385,thread-9043,Are lower Bg levels good for the Brain ?,https://www.diabetes.co.uk/forum/threads/are-lower-bg-levels-good-for-the-brain.9043/,cugila,"Jun 30, 2009",9,"1,222",post-91901,Insulinman,Type 1 Well-Known Member,45,28,58.0,"Aug 6, 2009 at 3:21 PM",0,0,0,0,0,0,0,0,#7,"First a very few people on Insulin, Can and do become very violent. as a warning people have been arrested slung into a cell and died They were DIABETIC in a Coma as proof my pump has a warning: I HAVE DIABETES If my BEHAVIORIS is PECULIAR (appear Intoxicated) or I am unconscious, etc etc I have seen a nice Guy Behave very Violently to his wife. many years ago I swore at my Wife in a semi Coma? Not to get involved with the Idiots Hi/Low C********** Fact IF YOU ARE ON INSULIN YOU HAVE GOT TO HAVE Carbohydrate or you RISK all if your type 2 do what you want to!",
55721,thread-135691,Can a one-off meal really set back and ruin your results?,https://www.diabetes.co.uk/forum/threads/can-a-one-off-meal-really-set-back-and-ruin-your-results.135691/,Sean-W,"Feb 9, 2018",38,"2,917",post-1693452,bulkbiker,Type 2 Master,"12,684","9,684",298.0,"Feb 9, 2018 at 2:25 PM",1,1,0,0,0,0,0,0,#12,I hadn't noticed that but ended up just spooning the one I bought from tub to mouth.. it didn't last long...although it did knock the spinner off its housing in my nespresso milk frother..,Rachox said: The trouble is it starts off really thick but by the end of the tub its just the same as normal double cream Click to expand...
142027,thread-84968,Self testing is unreliable and unnecessary,https://www.diabetes.co.uk/forum/threads/self-testing-is-unreliable-and-unnecessary.84968/,MargJ,"Sep 29, 2015",59,"9,469",post-957461,Bluetit1802,Type 2 (in remission!) Guru,"24,059","30,031",298.0,"Sep 29, 2015 at 2:23 PM",0,0,0,0,0,0,0,0,#21,I also use an empty tub to dispose of my used strips (after removing the label so as not to get them mixed up!) but as I use the Fastclix pen for pricking my finger I have no problem disposing of the lancets. They are enclosed in a drum so can go in normal household rubbish. (It says so in the instructions),
50383,thread-139000,Professor Stephen Hawking,https://www.diabetes.co.uk/forum/threads/professor-stephen-hawking.139000/,PenguinMum,"Mar 14, 2018",15,"1,101",post-1725748,PenguinMum,Type 2 Well-Known Member,"2,191","6,132",178.0,"Mar 14, 2018 at 9:15 AM",4,6,0,0,0,0,0,0,#1,"Mother Nature dealt this man a bad hand but he had a fine brain and persevered with grace and humour in an endless quest for knowledge which he shared with the world. He must have suffered and with our own challenges we could do worse than be inspired by him, if just for today.",
14704,thread-161076,At What Point Does the Body....,https://www.diabetes.co.uk/forum/threads/at-what-point-does-the-body.161076/,Listlad,"Feb 7, 2019",22,711,post-1981893,Listlad,Prediabetes Well-Known Member,"2,522","1,345",158.0,"Feb 7, 2019 at 1:04 PM",0,0,0,0,0,0,0,0,#20,"Okay thanks, it was a case of trying to predict when it might happen. And if it might be achievable for me with my diet and aspirations etc etc. Rather than an academic exercise. I shall watch that video. Cheers. I dont know if you watched the Pink Panther but his assistant was called Kayto but pronounced Keto.",bulkbiker said: Depending on how deep you want to dive you might find this interesting Click to expand...
40207,thread-136754,Statins - GP insisting Simvastatin 20mg,https://www.diabetes.co.uk/forum/threads/statins-gp-insisting-simvastatin-20mg.136754/,Jan_P,"Feb 26, 2018",56,"4,057",post-1711896,bulkbiker,Type 2 Master,"12,684","9,684",298.0,"Feb 28, 2018 at 2:18 PM",0,0,0,0,0,0,0,0,#29,slightly controversial....,Dark Horse said: not eating red meat. Click to expand...
188415,thread-55933,Carb confusion,https://www.diabetes.co.uk/forum/threads/carb-confusion.55933/,sugar-monsters,"Apr 8, 2014",31,"2,900",post-518052,hale710,Type 1 Well-Known Member,"2,903","1,081",178.0,"Apr 9, 2014 at 9:33 AM",8,0,0,0,0,0,0,0,#10,"There are many T1s that do chose to go down the low carb route also. The main reason being less carb = less insulin required = less chance of making a mistake At 4 years old I would let her be as normal as possible. No child should be going mad on sweets and sugar anyway, so I'm sure she's getting a healthy balanced diet from you. If there was a concern your doctor would guide you Blogging at drivendiabetic.wordpress.com",sugar-monsters said: Thanks I was startin to panic a bit I was mayb being ignorant to amount if carbs! But I guess cause she's type 1 then it's ok jus to give watever carbs to insulin to keep her healthy tank you! Sent from the Diabetes Forum App Click to expand...
60647,thread-161585,Child Fasting Levels,https://www.diabetes.co.uk/forum/threads/child-fasting-levels.161585/,Sticksandstones,"Feb 22, 2019",14,441,post-1993088,Sticksandstones,Newbie,3,1,3.0,"Feb 22, 2019 at 11:46 AM",1,0,0,0,0,1,0,0,#7,"Hi, thanks again for all your replies. No other symptoms really apart from him mentioning how thirsty he has been recently. I will book an appt and get him checked out to be on the safe side. Thanks all, will post an update if anything significant comes of it. Thanks for your advice.",
248446,thread-7070,Metformin,https://www.diabetes.co.uk/forum/threads/metformin.7070/,witsum,"Mar 21, 2009",86,"6,046",post-125736,witsum,Active Member,44,0,26.0,"Mar 16, 2010 at 12:01 AM",0,0,0,0,0,0,0,0,#87,The,
228671,thread-27754,Struggling to eat,https://www.diabetes.co.uk/forum/threads/struggling-to-eat.27754/,Defren,"Mar 15, 2012",11,"1,474",post-256848,Jolo,Well-Known Member,70,0,26.0,"Mar 16, 2012 at 9:12 PM",0,0,0,0,0,0,0,0,#9,"just thinking... have you only just started a low carb diet? just that i've just started low carbing a couple of weeks ago. today i didnt eat til about 11, which was a salad with avacado and cream cheese and mayo as a dressing! i felt so full and bloated after just the salad i felt sick all day and have been sick 4 times at work! I didnt feel hungry til about 7pm when i ate some more salad with fried salmon (yummy and not too fishy!). just thinking that it could be the diet...?",
174105,thread-64029,please help,https://www.diabetes.co.uk/forum/threads/please-help.64029/,rieskichlomum,"Sep 4, 2014",7,550,post-627022,Spiker,Type 1 Well-Known Member,"4,693","8,441",178.0,"Sep 5, 2014 at 12:28 AM",4,0,0,0,0,0,0,0,#3,"My diabetes consultant always likes to remind me that diabetics get ill too, and not everything that a diabetic gets is caused by diabetes. Particularly with young children. Please get a doctors opinion. A child of her age should not have neuropathy so it is most likely a non-diabetic thing.",
121557,thread-102060,Is there such a thing as drinking too much? Not alcohol but diet drinks or water.,https://www.diabetes.co.uk/forum/threads/is-there-such-a-thing-as-drinking-too-much-not-alcohol-but-diet-drinks-or-water.102060/,ickihun,"May 28, 2016",34,"2,001",post-1165969,ickihun,Type 2 Master,"12,578","17,988",298.0,"May 29, 2016 at 8:08 AM",0,0,0,0,0,0,0,0,#26,"Mine has been just off clear unless I have a naughty carb. I knew strong wee indicated dehydration so I think I might be having a litre too much. I drank less after 7pm yesterday and have woke not bursting for toilet. I'll keep an eye on colour. Great help, thankyou all.",
87705,thread-120480,What should BG be 2 hour after a meal?,https://www.diabetes.co.uk/forum/threads/what-should-bg-be-2-hour-after-a-meal.120480/,AlaskaRon,"May 7, 2017",10,868,post-1459824,Pinkorchid,Type 2 Well-Known Member,"2,795","1,905",198.0,"May 8, 2017 at 10:36 AM",0,0,0,0,0,0,0,0,#9,The 8.5 is just a general guide as to what is a good level after food so anything under that is fine. It may be to high for some people so they try to get lower. Don't get hung up on what other peoples blood levels are we are all very different when it comes to what our own body does and some may get lower than others. My own normal blood levels rarely go below the 6's at any time and will be higher after food but I try not to go over the 8.5 I am happy with that and My HbA1c says my diabetes is controlled.,
43202,thread-144923,"Just started a low carb diet, ketones are 1.3",https://www.diabetes.co.uk/forum/threads/just-started-a-low-carb-diet-ketones-are-1-3.144923/,olster,"May 5, 2018",6,729,post-1772212,archersuz,Type 2 Well-Known Member,"1,204","1,009",158.0,"May 5, 2018 at 8:17 PM",0,0,0,0,0,0,0,0,#3,"Hi, I'm T2 so can't comment on this, but I'll tag @Jaylee who may be able to give you advice","olster said: Hi, ive started eating low carb in the past 4 days so im able to have better BG levels, my levels have been in the 4's and 5's which is perfect for me. I just tested my ketones and im at 1.3, is this anything to be concerned about? Or am i fine to carry on with this diet? Thanks Click to expand..."
121394,thread-55605,Is anyone else having difficulty ordering test strips?,https://www.diabetes.co.uk/forum/threads/is-anyone-else-having-difficulty-ordering-test-strips.55605/,chubbz1991,"Apr 2, 2014",15,"1,706",post-513681,Indiana91,Type 1 Well-Known Member,706,711,133.0,"Apr 2, 2014 at 4:51 PM",6,0,0,0,0,0,0,0,#5,I'd ring up and book an appointment with your doc if all else fails. Your receptionist can't ask what the appointment is for and he can't fob you off if you're sat in front if him. It's terrible what they're trying to do! Indiana x Sent from my iPhone using Tapatalk,
163215,thread-69402,:),https://www.diabetes.co.uk/forum/threads/69402/,Llinz04,"Dec 25, 2014",15,"1,078",post-715388,Mike D,Type 2 Expert,"7,186","10,983",198.0,"Dec 25, 2014 at 12:57 AM",2,0,0,0,0,0,0,0,#2,and to you as well from a mild Melbourne Australia,
38030,thread-152946,How Many Hours Fasting For Fasting Test?,https://www.diabetes.co.uk/forum/threads/how-many-hours-fasting-for-fasting-test.152946/,Antje77,"Jun 27, 2018",20,908,post-1822747,,LADA Moderator,"3,190","2,558",198.0,"Jun 27, 2018 at 9:10 PM",1,0,0,0,0,0,0,0,#14,"Thanks! Too bad for the alcohol I already had. I'll eat something fatty with some carbs (yeah, nuts, olives and some chicory with hummus) five minutes before the ten hour mark to make sure I won't have to eat anything to fend off a hypo before letting them take my blood","Bluetit1802 said: It is the cholesterol because it is made by and in the liver, which alcohol affects. No idea about the science behind it. I have never been told officially. I just read it somewhere. Most of us in the UK are told not to fast at all (as per NICE) but we tend to because of the triglycerides. They will be raised if we don't fast and have eaten something fatty beforehand. Click to expand..."
257219,thread-7543,Cure,https://www.diabetes.co.uk/forum/threads/cure.7543/,nannoo,"Apr 16, 2009",9,"1,469",post-69171,nannoo,Well-Known Member,112,0,36.0,"Apr 16, 2009 at 12:43 PM",0,0,0,0,0,0,0,0,#1,"Does anyone know where things stand with regards to a ""cure"" for Type 2 diabetes? I am at my wits end trying to work out what is best for me to eat, and I keep falling off the wagon, then lie awake at 3 a.m. wondering what I am doing. So .......... how close are we to a cure for this miserable disease?",
140760,thread-85891,Taking Forxiga would this help,https://www.diabetes.co.uk/forum/threads/taking-forxiga-would-this-help.85891/,sueky01,"Oct 14, 2015",14,"1,312",post-968774,catherinecherub,Guest,,,,"Oct 14, 2015 at 4:45 PM",0,0,0,0,0,0,0,0,#4,"There is a thread about a warning with Forxiga here, http://www.diabetes.co.uk/forum/threads/warning-if-taking-foxiga-dapiflagifloxin.80481/ I don't know if you have read the basic advice but I will tag @daisy1 to provide it for you. It might help with your food choices.",
101724,thread-114358,Highs as soon as insulin wears off,https://www.diabetes.co.uk/forum/threads/highs-as-soon-as-insulin-wears-off.114358/,Kieron10,"Jan 11, 2017",19,"9,517",post-1353245,catapillar,Type 1 Well-Known Member,"3,397","2,897",198.0,"Jan 11, 2017 at 7:23 PM",1,1,0,0,0,0,0,0,#20,"Kieron10 said: I sound very much the same as you so think I'll be trying that. Thanks for your advice Click to expand... So you could add an additional bolus, but remember @Kristin251 says Kristin251 said: My basal dose is right Click to expand... You really need to check whether your basal dose is correct for you as a first step.",Kieron10 said: I sound very much the same as you so think I'll be trying that. Thanks for your advice Click to expand... Kristin251 said: My basal dose is right Click to expand...
203353,thread-45604,pregnancy,https://www.diabetes.co.uk/forum/threads/pregnancy.45604/,glaxonia,"Aug 5, 2013",3,640,post-411723,glaxonia,Member,5,0,21.0,"Aug 5, 2013 at 4:03 PM",0,0,0,0,0,0,0,0,#1,m type 2 n recently pregnant. my sugar reading was above normal before i conceived. now after visiting n being on oral med its back on track however doc suggest insulin injection. m scared. wht happens now. i keep getting stomach cramps. i suddenly get up a night all prespiration n feeling dizzy n weak. pliz help. need ur valuable suggestion.,
76685,thread-125422,HbA1c level of 32,https://www.diabetes.co.uk/forum/threads/hba1c-level-of-32.125422/,TUC,"Aug 23, 2017",17,"10,692",post-1547102,TUC,Type 2 Member,8,1,23.0,"Aug 30, 2017 at 12:18 PM",1,2,0,0,0,0,0,0,#8,"Just to update on the outcome of this. On the back of my result being a score of 32, ny GP arranged a second HbA1c test and said he would adjust my medication downwards if it came out at a similar level. When I rang my GP practice for the result, I was told it was 'normal' and I had to ask for the specific score. It was 32 but they advised again that their system said this was normal. When I said that ny GP had already said he would adjust my medication if it was 32, I was asked to ring again when another colleague was in. Again they said it was showing as normal but, when I advised of my previous discussion wiyh my GP and that 32 for someone with diabetes could include variation lower and higher, they arranged for my GP to ring me. After discussing it with him he has adjusted my medication from 2x Alogliptin per day to 1 x Metformin per day, and for me to be retested in December to check the effects. I'm fine with this outcome, but it does demonstrate how someone could be badly advised if they just accepted that their GP practice said their result was 'normal'.",
154721,thread-74810,To snack or not to snack?,https://www.diabetes.co.uk/forum/threads/to-snack-or-not-to-snack.74810/,Lesleywo,"Apr 4, 2015",19,"1,248",post-819422,JTL,Type 2 Well-Known Member,"3,772","7,755",178.0,"Apr 4, 2015 at 11:50 AM",6,0,0,0,0,0,0,0,#2,Only dumb people don't ask questions and that's why they remain dumb! I'd say go with what works for you. I'd be sticking with whatever kept my numbers down. It's the higher numbers that do the damage.,
232347,thread-24205,hypo awareness gone,https://www.diabetes.co.uk/forum/threads/hypo-awareness-gone.24205/,chrisf-1,"Sep 27, 2011",18,"3,434",post-231933,chrisf-1,Type 1 Member,15,0,41.0,"Nov 21, 2011 at 8:58 PM",0,0,0,0,0,0,0,0,#16,"Chris, don't know if this might help at all, but I had a lot stronger Hypo warnings on Lantus than any other insulins I've been on, I still get them at the same numbers now on Levemir, but they are a lot milder, which suits me to be honest...as Lantus ones were like Good luck with it all anyway.Fallenstar Posts: 352 Joined: August 11th, 2011, 11:54 pm Private message Thanks for reply but I am on lantus I think the answer might be bovine or porcine but I have doubts about being able to be prescribed natural insulin",
144334,thread-83351,Cold or chest infection does it cause high blood sugar,https://www.diabetes.co.uk/forum/threads/cold-or-chest-infection-does-it-cause-high-blood-sugar.83351/,bladerfc,"Sep 3, 2015",8,"1,665",post-936611,bladerfc,Prediabetes Well-Known Member,149,80,68.0,"Sep 3, 2015 at 5:32 PM",0,0,0,0,0,0,0,0,#7,Cheers,
