,sentence,has_requirement_words,without_stop_words,lemmatized_words,pos_tags
17,"do you think i would be better having my long term insulin ( lantus) in one go   before bed, rather than half am and half pm ?",1,"['think', 'would', 'better', 'long', 'term', 'insulin', 'lantus', 'one', 'go', 'bed', 'rather', 'half', 'half', 'pm']","['think', 'would', 'better', 'long', 'term', 'insulin', 'lantus', 'one', 'go', 'bed', 'rather', 'half', 'half', 'pm']","[('do', 'VBP'), ('you', 'PRP'), ('think', 'VB'), ('i', 'NNS'), ('would', 'MD'), ('be', 'VB'), ('better', 'JJR'), ('having', 'VBG'), ('my', 'PRP$'), ('long', 'JJ'), ('term', 'NN'), ('insulin', 'NN'), ('(', '('), ('lantus', 'NN'), (')', ')'), ('in', 'IN'), ('one', 'CD'), ('go', 'NN'), ('before', 'IN'), ('bed', 'NN'), (',', ','), ('rather', 'RB'), ('than', 'IN'), ('half', 'NN'), ('am', 'VBP'), ('and', 'CC'), ('half', 'NN'), ('pm', 'NN'), ('?', '.')]"
18,hi is it possible to just naturally have low (but still in normal range) c peptide and never develop type i?,0,"['hi', 'possible', 'naturally', 'low', 'still', 'normal', 'range', 'c', 'peptide', 'never', 'develop', 'type']","['hi', 'possible', 'naturally', 'low', 'still', 'normal', 'range', 'c', 'peptide', 'never', 'develop', 'type']","[('hi', 'NN'), ('is', 'VBZ'), ('it', 'PRP'), ('possible', 'JJ'), ('to', 'TO'), ('just', 'RB'), ('naturally', 'RB'), ('have', 'VBP'), ('low', 'JJ'), ('(', '('), ('but', 'CC'), ('still', 'RB'), ('in', 'IN'), ('normal', 'JJ'), ('range', 'NN'), (')', ')'), ('c', 'NN'), ('peptide', 'NN'), ('and', 'CC'), ('never', 'RB'), ('develop', 'VB'), ('type', 'NN'), ('i', 'NN'), ('?', '.')]"
19,antibodies are all negative (although waiting for the rare results still) ,0,"['antibodies', 'negative', 'although', 'waiting', 'rare', 'results', 'still']","['antibody', 'negative', 'although', 'waiting', 'rare', 'result', 'still']","[('antibodies', 'NNS'), ('are', 'VBP'), ('all', 'DT'), ('negative', 'JJ'), ('(', '('), ('although', 'IN'), ('waiting', 'VBG'), ('for', 'IN'), ('the', 'DT'), ('rare', 'JJ'), ('results', 'NNS'), ('still', 'RB'), (')', ')')]"
20,"have no symptoms, twice weekly fastings are late fours or very early fives ",0,"['symptoms', 'twice', 'weekly', 'fastings', 'late', 'fours', 'early', 'fives']","['symptom', 'twice', 'weekly', 'fasting', 'late', 'four', 'early', 'five']","[('have', 'VB'), ('no', 'DT'), ('symptoms', 'NNS'), (',', ','), ('twice', 'RB'), ('weekly', 'JJ'), ('fastings', 'NNS'), ('are', 'VBP'), ('late', 'JJ'), ('fours', 'NNS'), ('or', 'CC'), ('very', 'RB'), ('early', 'JJ'), ('fives', 'NNS')]"
21,had gdm with a two hour result of 11 2 in the gtt hence being monitored now ,0,"['gdm', 'two', 'hour', 'result', 'gtt', 'hence', 'monitored']","['gdm', 'two', 'hour', 'result', 'gtt', 'hence', 'monitored']","[('had', 'VBD'), ('gdm', 'VBN'), ('with', 'IN'), ('a', 'DT'), ('two', 'CD'), ('hour', 'NN'), ('result', 'NN'), ('of', 'IN'), ('11', 'CD'), ('2', 'CD'), ('in', 'IN'), ('the', 'DT'), ('gtt', 'NN'), ('hence', 'NN'), ('being', 'VBG'), ('monitored', 'VBN'), ('now', 'RB')]"
22,hba1c is low too ,0,['low'],['low'],"[('hba1c', 'NN'), ('is', 'VBZ'), ('low', 'JJ'), ('too', 'RB')]"
23,of course i may be grasping at straws ,0,"['course', 'may', 'grasping', 'straws']","['course', 'may', 'grasping', 'straw']","[('of', 'IN'), ('course', 'NN'), ('i', 'NN'), ('may', 'MD'), ('be', 'VB'), ('grasping', 'VBG'), ('at', 'IN'), ('straws', 'NNS')]"
24,if the rare antibodies are negative then they will do a genetic test ,1,"['rare', 'antibodies', 'negative', 'genetic', 'test']","['rare', 'antibody', 'negative', 'genetic', 'test']","[('if', 'IN'), ('the', 'DT'), ('rare', 'JJ'), ('antibodies', 'NNS'), ('are', 'VBP'), ('negative', 'JJ'), ('then', 'RB'), ('they', 'PRP'), ('will', 'MD'), ('do', 'VB'), ('a', 'DT'), ('genetic', 'JJ'), ('test', 'NN')]"
25,thanks,0,['thanks'],['thanks'],"[('thanks', 'NNS')]"
26,no ,0,[],[],"[('no', 'DT')]"
27,"it's only a drink containing glucose (sugar), usually it's lucozade they make you drink for the ogtt ",0,"['drink', 'containing', 'glucose', 'sugar', 'usually', 'lucozade', 'make', 'drink', 'ogtt']","['drink', 'containing', 'glucose', 'sugar', 'usually', 'lucozade', 'make', 'drink', 'ogtt']","[('it', 'PRP'), (""'s"", 'VBZ'), ('only', 'RB'), ('a', 'DT'), ('drink', 'NN'), ('containing', 'VBG'), ('glucose', 'NN'), ('(', '('), ('sugar', 'NN'), (')', ')'), (',', ','), ('usually', 'RB'), ('it', 'PRP'), (""'s"", 'VBZ'), ('lucozade', 'JJ'), ('they', 'PRP'), ('make', 'VBP'), ('you', 'PRP'), ('drink', 'VB'), ('for', 'IN'), ('the', 'DT'), ('ogtt', 'NN')]"
28,unless lucozade makes you sick you will be fine ,0,"['unless', 'lucozade', 'makes', 'sick', 'fine']","['unless', 'lucozade', 'make', 'sick', 'fine']","[('unless', 'IN'), ('lucozade', 'JJ'), ('makes', 'VBZ'), ('you', 'PRP'), ('sick', 'JJ'), ('you', 'PRP'), ('will', 'MD'), ('be', 'VB'), ('fine', 'JJ')]"
29,hi ,0,['hi'],['hi'],"[('hi', 'NN')]"
30,"yes, your nurse belongs to the dark ages so refuse to see her ",0,"['yes', 'nurse', 'belongs', 'dark', 'ages', 'refuse', 'see']","['yes', 'nurse', 'belongs', 'dark', 'age', 'refuse', 'see']","[('yes', 'UH'), (',', ','), ('your', 'PRP$'), ('nurse', 'JJ'), ('belongs', 'NNS'), ('to', 'TO'), ('the', 'DT'), ('dark', 'NN'), ('ages', 'VBZ'), ('so', 'RB'), ('refuse', 'JJ'), ('to', 'TO'), ('see', 'VB'), ('her', 'PRP$')]"
31,if you do have even occasional bowel issues i would ask for the metformin to be changed to the sr (slow release) version ,1,"['even', 'occasional', 'bowel', 'issues', 'would', 'ask', 'metformin', 'changed', 'sr', 'slow', 'release', 'version']","['even', 'occasional', 'bowel', 'issue', 'would', 'ask', 'metformin', 'changed', 'sr', 'slow', 'release', 'version']","[('if', 'IN'), ('you', 'PRP'), ('do', 'VBP'), ('have', 'VB'), ('even', 'RB'), ('occasional', 'JJ'), ('bowel', 'NN'), ('issues', 'NNS'), ('i', 'VBP'), ('would', 'MD'), ('ask', 'VB'), ('for', 'IN'), ('the', 'DT'), ('metformin', 'NN'), ('to', 'TO'), ('be', 'VB'), ('changed', 'VBN'), ('to', 'TO'), ('the', 'DT'), ('sr', 'NN'), ('(', '('), ('slow', 'JJ'), ('release', 'NN'), (')', ')'), ('version', 'NN')]"
32,these 2 drugs are mixed into one med and available in india ,0,"['drugs', 'mixed', 'one', 'med', 'available', 'india']","['drug', 'mixed', 'one', 'med', 'available', 'india']","[('these', 'DT'), ('2', 'CD'), ('drugs', 'NNS'), ('are', 'VBP'), ('mixed', 'VBN'), ('into', 'IN'), ('one', 'CD'), ('med', 'NN'), ('and', 'CC'), ('available', 'JJ'), ('in', 'IN'), ('india', 'NN')]"
33,"see this       mayo clinic says ""glyburide and metformin combination is used to treat high blood sugar levels caused by a type of diabetes mellitus ( sugar diabetes ) called type 2 diabetes  ",0,"['see', 'mayo', 'clinic', 'says', 'glyburide', 'metformin', 'combination', 'used', 'treat', 'high', 'blood', 'sugar', 'levels', 'caused', 'type', 'diabetes', 'mellitus', 'sugar', 'diabetes', 'called', 'type', 'diabetes']","['see', 'mayo', 'clinic', 'say', 'glyburide', 'metformin', 'combination', 'used', 'treat', 'high', 'blood', 'sugar', 'level', 'caused', 'type', 'diabetes', 'mellitus', 'sugar', 'diabetes', 'called', 'type', 'diabetes']","[('see', 'VB'), ('this', 'DT'), ('mayo', 'NN'), ('clinic', 'NN'), ('says', 'VBZ'), ('``', '``'), ('glyburide', 'JJ'), ('and', 'CC'), ('metformin', 'JJ'), ('combination', 'NN'), ('is', 'VBZ'), ('used', 'VBN'), ('to', 'TO'), ('treat', 'VB'), ('high', 'JJ'), ('blood', 'NN'), ('sugar', 'NN'), ('levels', 'NNS'), ('caused', 'VBN'), ('by', 'IN'), ('a', 'DT'), ('type', 'NN'), ('of', 'IN'), ('diabetes', 'NNS'), ('mellitus', 'FW'), ('(', '('), ('sugar', 'VB'), ('diabetes', 'NNS'), (')', ')'), ('called', 'VBD'), ('type', '$'), ('2', 'CD'), ('diabetes', 'NNS')]"
34,"normally, after you eat, your pancreas releases insulin to help your body store excess sugar for later use ",0,"['normally', 'eat', 'pancreas', 'releases', 'insulin', 'help', 'body', 'store', 'excess', 'sugar', 'later', 'use']","['normally', 'eat', 'pancreas', 'release', 'insulin', 'help', 'body', 'store', 'excess', 'sugar', 'later', 'use']","[('normally', 'RB'), (',', ','), ('after', 'IN'), ('you', 'PRP'), ('eat', 'VBP'), (',', ','), ('your', 'PRP$'), ('pancreas', 'JJ'), ('releases', 'NNS'), ('insulin', 'NN'), ('to', 'TO'), ('help', 'VB'), ('your', 'PRP$'), ('body', 'NN'), ('store', 'NN'), ('excess', 'JJ'), ('sugar', 'NN'), ('for', 'IN'), ('later', 'JJR'), ('use', 'NN')]"
35,"this process occurs during normal digestion of food """,0,"['process', 'occurs', 'normal', 'digestion', 'food']","['process', 'occurs', 'normal', 'digestion', 'food']","[('this', 'DT'), ('process', 'NN'), ('occurs', 'VBZ'), ('during', 'IN'), ('normal', 'JJ'), ('digestion', 'NN'), ('of', 'IN'), ('food', 'NN'), ('``', '``')]"
36,"thats my favorite part too, hard boiled yolks, mayo and avo all blended until smooth ",0,"['thats', 'favorite', 'part', 'hard', 'boiled', 'yolks', 'mayo', 'avo', 'blended', 'smooth']","['thats', 'favorite', 'part', 'hard', 'boiled', 'yolk', 'mayo', 'avo', 'blended', 'smooth']","[('thats', 'NNS'), ('my', 'PRP$'), ('favorite', 'JJ'), ('part', 'NN'), ('too', 'RB'), (',', ','), ('hard', 'RB'), ('boiled', 'VBD'), ('yolks', 'NNS'), (',', ','), ('mayo', 'NN'), ('and', 'CC'), ('avo', 'VB'), ('all', 'DT'), ('blended', 'VBN'), ('until', 'IN'), ('smooth', 'NNS')]"
37,spread on anything ,0,"['spread', 'anything']","['spread', 'anything']","[('spread', 'NN'), ('on', 'IN'), ('anything', 'NN')]"
38,dip your soildiers in it ,0,"['dip', 'soildiers']","['dip', 'soildiers']","[('dip', 'VB'), ('your', 'PRP$'), ('soildiers', 'NNS'), ('in', 'IN'), ('it', 'PRP')]"
39,( im assuming they are sausage type things ?),0,"['im', 'assuming', 'sausage', 'type', 'things']","['im', 'assuming', 'sausage', 'type', 'thing']","[('(', '('), ('im', 'NN'), ('assuming', 'VBG'), ('they', 'PRP'), ('are', 'VBP'), ('sausage', 'JJ'), ('type', 'JJ'), ('things', 'NNS'), ('?', '.'), (')', ')')]"
40,make sure that he washes his hands before each test to see if that makes a difference ,1,"['make', 'sure', 'washes', 'hands', 'test', 'see', 'makes', 'difference']","['make', 'sure', 'wash', 'hand', 'test', 'see', 'make', 'difference']","[('make', 'VB'), ('sure', 'JJ'), ('that', 'IN'), ('he', 'PRP'), ('washes', 'VBZ'), ('his', 'PRP$'), ('hands', 'NNS'), ('before', 'IN'), ('each', 'DT'), ('test', 'NN'), ('to', 'TO'), ('see', 'VB'), ('if', 'IN'), ('that', 'DT'), ('makes', 'VBZ'), ('a', 'DT'), ('difference', 'NN')]"
41,"the hba1c result is pretty accurate, and if he had a number of lows to go with the high sugar levels that could explain the result ",0,"['result', 'pretty', 'accurate', 'number', 'lows', 'go', 'high', 'sugar', 'levels', 'could', 'explain', 'result']","['result', 'pretty', 'accurate', 'number', 'low', 'go', 'high', 'sugar', 'level', 'could', 'explain', 'result']","[('the', 'DT'), ('hba1c', 'NN'), ('result', 'NN'), ('is', 'VBZ'), ('pretty', 'JJ'), ('accurate', 'NN'), (',', ','), ('and', 'CC'), ('if', 'IN'), ('he', 'PRP'), ('had', 'VBD'), ('a', 'DT'), ('number', 'NN'), ('of', 'IN'), ('lows', 'NNS'), ('to', 'TO'), ('go', 'VB'), ('with', 'IN'), ('the', 'DT'), ('high', 'JJ'), ('sugar', 'NN'), ('levels', 'NNS'), ('that', 'WDT'), ('could', 'MD'), ('explain', 'VB'), ('the', 'DT'), ('result', 'NN')]"
42,i have noticed that if i don't wash my hands before a test i can get pretty erratic sugar levels!,1,"['noticed', 'wash', 'hands', 'test', 'get', 'pretty', 'erratic', 'sugar', 'levels']","['noticed', 'wash', 'hand', 'test', 'get', 'pretty', 'erratic', 'sugar', 'level']","[('i', 'NNS'), ('have', 'VBP'), ('noticed', 'VBN'), ('that', 'IN'), ('if', 'IN'), ('i', 'NNS'), ('do', 'VBP'), (""n't"", 'RB'), ('wash', 'VB'), ('my', 'PRP$'), ('hands', 'NNS'), ('before', 'IN'), ('a', 'DT'), ('test', 'NN'), ('i', 'NN'), ('can', 'MD'), ('get', 'VB'), ('pretty', 'RB'), ('erratic', 'JJ'), ('sugar', 'NN'), ('levels', 'NNS'), ('!', '.')]"
43,"the main thing though is that he has a very good hba1c level, so that's a very good positive ",0,"['main', 'thing', 'though', 'good', 'level', 'good', 'positive']","['main', 'thing', 'though', 'good', 'level', 'good', 'positive']","[('the', 'DT'), ('main', 'JJ'), ('thing', 'NN'), ('though', 'NN'), ('is', 'VBZ'), ('that', 'IN'), ('he', 'PRP'), ('has', 'VBZ'), ('a', 'DT'), ('very', 'RB'), ('good', 'JJ'), ('hba1c', 'NN'), ('level', 'NN'), (',', ','), ('so', 'IN'), ('that', 'DT'), (""'s"", 'VBZ'), ('a', 'DT'), ('very', 'RB'), ('good', 'JJ'), ('positive', 'JJ')]"
44,"i have no wish to enter any discussion about the rights or wrongs of our system, but i have far less knowledge about non eu persons ",0,"['wish', 'enter', 'discussion', 'rights', 'wrongs', 'system', 'far', 'less', 'knowledge', 'non', 'eu', 'persons']","['wish', 'enter', 'discussion', 'right', 'wrong', 'system', 'far', 'le', 'knowledge', 'non', 'eu', 'person']","[('i', 'NNS'), ('have', 'VBP'), ('no', 'DT'), ('wish', 'JJ'), ('to', 'TO'), ('enter', 'VB'), ('any', 'DT'), ('discussion', 'NN'), ('about', 'IN'), ('the', 'DT'), ('rights', 'NNS'), ('or', 'CC'), ('wrongs', 'NNS'), ('of', 'IN'), ('our', 'PRP$'), ('system', 'NN'), (',', ','), ('but', 'CC'), ('i', 'NNS'), ('have', 'VBP'), ('far', 'RB'), ('less', 'JJR'), ('knowledge', 'NN'), ('about', 'IN'), ('non', 'JJ'), ('eu', 'NN'), ('persons', 'NNS')]"
45,"i'll tag atfallgal as i know she has gone through the settling process, from the u s , and commented upon it on another thread recently ",0,"['tag', 'atfallgal', 'know', 'gone', 'settling', 'process', 'u', 'commented', 'upon', 'another', 'thread', 'recently']","['tag', 'atfallgal', 'know', 'gone', 'settling', 'process', 'u', 'commented', 'upon', 'another', 'thread', 'recently']","[('i', 'NN'), (""'ll"", 'MD'), ('tag', 'VB'), ('atfallgal', 'JJ'), ('as', 'IN'), ('i', 'NN'), ('know', 'VBP'), ('she', 'PRP'), ('has', 'VBZ'), ('gone', 'VBN'), ('through', 'IN'), ('the', 'DT'), ('settling', 'NN'), ('process', 'NN'), (',', ','), ('from', 'IN'), ('the', 'DT'), ('u', 'JJ'), ('s', 'NN'), (',', ','), ('and', 'CC'), ('commented', 'VBD'), ('upon', 'IN'), ('it', 'PRP'), ('on', 'IN'), ('another', 'DT'), ('thread', 'NN'), ('recently', 'RB')]"
46,"hopefully that might give you some clarity on your wife's situation, with differs from your own ",0,"['hopefully', 'might', 'give', 'clarity', 'wife', 'situation', 'differs']","['hopefully', 'might', 'give', 'clarity', 'wife', 'situation', 'differs']","[('hopefully', 'RB'), ('that', 'DT'), ('might', 'MD'), ('give', 'VB'), ('you', 'PRP'), ('some', 'DT'), ('clarity', 'NN'), ('on', 'IN'), ('your', 'PRP$'), ('wife', 'NN'), (""'s"", 'POS'), ('situation', 'NN'), (',', ','), ('with', 'IN'), ('differs', 'NNS'), ('from', 'IN'), ('your', 'PRP$'), ('own', 'JJ')]"
47,nan,0,['nan'],['nan'],"[('nan', 'NN')]"
