,thread_id,thread_title,thread_link,thread_author,thread_startDate,thread_replies,thread_views,post_id,post_username,post_userTitle,post_userNbMessages,post_userLikesReceived,post_userTrophyPoints,post_DateTime,post_like,post_agree,post_useful,post_funny,post_informative,post_friendly,post_optimistic,post_hug,post_number,post_messageText,post_quoteText
23463,thread-158422,Blood pressure,https://www.diabetes.co.uk/forum/threads/blood-pressure.158422/,carol43,"Nov 12, 2018",16,774,post-1921678,RuthP,Member,15,4,3.0,"Nov 14, 2018 at 12:30 PM",0,0,0,0,0,1,0,0,#17,Will do!,Freema said: well have a try ... Click to expand...
22295,thread-158810,should i check my blood sugar after walking ?,https://www.diabetes.co.uk/forum/threads/should-i-check-my-blood-sugar-after-walking.158810/,Charis1213,"Nov 23, 2018",53,"1,855",post-1928233,JoKalsbeek,Type 2 (in remission!) Well-Known Member,"1,665","1,598",178.0,"Nov 24, 2018 at 4:51 PM",1,1,0,0,0,0,0,0,#31,"You did it right with the meat, fish and greens. That's all fine, it was the cobbler that was problematic. Anything made with dough or fruit or something will be high in carbs, and that does add up to the numbers you experienced. (Without the walk they probably would've been higher, so that walk was a good call!) I've tried antidepressants since I was 13 years old. They gave me migraines every single day for little over a year. (My shrink called me an obstinate quitter. I was puking my brains out daily, couldn't go to school...). Also, something that wasn't known then, in the time where prozac was still hailed as a miracle-drug: kids in puberty get more suicidal on prozac. That stuff made me very positive about death. I barely survived that, and have the hospitalrecords to prove it. Later, as an adult, I tried anti-depressants again, with various medicatons. When I finally found one that didn't give me migraines and allowed me to sleep, my eyesight got worse. My eyes hurt like heck. And then I found out my rheumatologist never put on record that I have Sjgrens, because I never should've been put on that antidepressant because it could've cost me the use of my eyes. And that's just the antidepressants. (So yes, probably like you, I'm hanging on by my fingernails as a way of life.) I'm extremely susseptable to side-effects, to any medication, so you can guess what happened on metformin: I lived in the loo for weeks. That's when I went searching for an alternative and found low carb. I wasn't as high as you, but there's T2's out there who were on insulin, and could stop that because of a low carb diet. So I totally get where you're coming from, and yeah, a low carb (not low-ish, but proper low carb!), can help you, in a way where there could very well be no meds required. Can't guarantee anything, but the odds are with you on this one. Don't give up just yet.","Charis1213 said: I'm going to do that diet from the diet doctor, am I still able to reverse ths or have i gone too far now my hba1c last week was 105 , and thats when i started cutting out processed foods , i felt immediately better and lost six pounds in six days , I want to reverse this cos I can't live with this anxiety. My phobia of medications is side effects i had adverse affects with depression tablets a few years back and i received therapy for other mental issues but the medication phobia is still there so I need to do without medication . Click to expand..."
87313,thread-120698,Foot pain,https://www.diabetes.co.uk/forum/threads/foot-pain.120698/,Dippydolly,"May 12, 2017",10,701,post-1462974,Dippydolly,Type 2 Well-Known Member,66,34,38.0,"May 12, 2017 at 4:25 PM",0,0,0,0,0,0,0,0,#1,"Hi had pain under my toes on and off for about 3 weeks now, been doctor today and he says my feet are in good condition and he tested sensation in end of my toes all good, but when I am sat it is annoying me ( when walking it's fine ) any ideas",
194524,thread-52000,Irritable,https://www.diabetes.co.uk/forum/threads/irritable.52000/,Lilliepop,"Jan 25, 2014",8,"1,011",post-470688,luceeloo,Type 2 Well-Known Member,612,716,133.0,"Jan 26, 2014 at 7:16 PM",2,0,0,0,0,0,0,0,#9,"I'm intolerable when my sugar is high, and I know it myself, but I can't stop being the most obstinate, pedantic, nit-picking person around. I am generally quite angry and obnoxious above 10. When my sugar is low, I'm quite emotional and almost depressed.",
106279,thread-111730,High BS 2 hours post meals,https://www.diabetes.co.uk/forum/threads/high-bs-2-hours-post-meals.111730/,carina62,"Nov 18, 2016",12,"1,163",post-1310312,Daibell,LADA Master,"10,519","6,592",298.0,"Nov 18, 2016 at 10:50 PM",0,0,0,0,0,0,0,0,#12,Hi. Don't bother with the fasting test as it is fairly meaningless. You can buy cheaper strips on the web. Ref carbs just think about daily total not the amount per meal. I try to stay below 150gm/day but my metabolism is quite good and I'm now on insulin. As others have said a max of 130gm is a good target although requires discipline.,
56113,thread-132768,After 6-months of LCHF,https://www.diabetes.co.uk/forum/threads/after-6-months-of-lchf.132768/,tsaghosh,"Jan 23, 2018",28,"2,273",post-1688590,tsaghosh,Type 2 Member,11,1,23.0,"Feb 4, 2018 at 4:42 AM",0,0,0,0,0,0,0,0,#24,Can we find out the time of dawn attack by trial and error? And can we control it by taking some food before having the attack?,
39335,thread-150009,Is It Possible I’m Type 1,https://www.diabetes.co.uk/forum/threads/is-it-possible-i%E2%80%99m-type-1.150009/,mike gibson,"Jun 5, 2018",7,571,post-1801493,Bluetit1802,Type 2 (in remission!) Guru,"24,059","30,031",298.0,"Jun 5, 2018 at 6:17 PM",0,1,0,0,0,0,0,0,#2,"It depends what you call better eating. What are you having for evening meals that is letting you down? Are you testing before each meal and again 2 hours later, keeping a food diary, and looking at the meals/food that raises you more than 2mmol/l?",
94117,thread-117533,Anyone Losing Hypo Awareness?,https://www.diabetes.co.uk/forum/threads/anyone-losing-hypo-awareness.117533/,Tinyface,"Mar 8, 2017",55,"4,232",post-1407717,Tinyface,Type 1 Active Member,32,6,28.0,"Mar 9, 2017 at 12:50 PM",1,0,0,0,0,0,0,0,#21,Yes mine does the same up n down. .had a hospital appointment today was so scared I just didn't take any insulin..else I wouldn't of gone. .,"philchap1 said: It must be a worry as you live alone, i have to test levels frequently, yesterday dropped from 6.9 to 2.8 within 50 minutes, I try and keep to the same regime but some days my diabetes has other ideas Click to expand..."
106845,thread-110597,best bread for a Type2.,https://www.diabetes.co.uk/forum/threads/best-bread-for-a-type2.110597/,myrio,"Nov 1, 2016",120,"12,290",post-1295029,asparagusp,Guest,,,,"Nov 1, 2016 at 8:01 PM",0,0,0,0,0,0,0,0,#37,I thought that would be your answer and as I said not all of us are on an extremely low carbohydrate diet. We also test to see what food is viable for us! It's low GI too.,bulkbiker said: Chickpea flour is still very high in carbs.. 48g per 100g not good for us type 2's.. Click to expand...
18782,thread-159767,sitagliptin advice please,https://www.diabetes.co.uk/forum/threads/sitagliptin-advice-please.159767/,Orlando00,"Dec 29, 2018",6,360,post-1951023,Orlando00,Type 2 Active Member,25,4,23.0,"Dec 29, 2018 at 12:09 PM",0,0,0,0,0,0,0,0,#3,"Thank you for the reply, I'm not sure what's causing this then. It could be because my bloods was in the high 13 to 15 for months but I'm not sure.",
14977,thread-161042,I’ve given Steak a go...,https://www.diabetes.co.uk/forum/threads/i%E2%80%99ve-given-steak-a-go.161042/,Type-2-Havent-A-Clue,"Feb 6, 2019",5,324,post-1982907,Bluetit1802,Type 2 (in remission!) Guru,"24,058","30,031",298.0,"Feb 8, 2019 at 6:14 PM",0,0,0,0,0,0,0,0,#6,"Looks lovely, but I couldn't eat it with an egg. I am a traditional steak eater - mushrooms, tomato, and when I'm naughty, onion rings in batter.",
23878,thread-158295,Medical exemption certificate renewal,https://www.diabetes.co.uk/forum/threads/medical-exemption-certificate-renewal.158295/,helensaramay,"Nov 8, 2018",24,"1,712",post-1917222,ringi,Type 2 Well-Known Member,"3,095","1,147",158.0,"Nov 8, 2018 at 3:43 PM",1,0,0,0,0,0,0,0,#19,"https://www.nhsbsa.nhs.uk/exemption-certificates/medical-exemption-certificates If the certificate does not arrive in time, you can reclaim the cost of prescriptions provided you have the correct paperwork from the chemist. So tell the chemist if you are waiting for a certificate.",
73828,thread-126944,Low carb high fibre snack,https://www.diabetes.co.uk/forum/threads/low-carb-high-fibre-snack.126944/,Ella1973,"Sep 26, 2017",14,"1,159",post-1570547,badcat,Guest,,,,"Sep 26, 2017 at 8:40 AM",0,0,0,0,0,0,0,0,#3,Amazon?,
215243,thread-36220,A sensitive question... - Anonymous Question,https://www.diabetes.co.uk/forum/threads/a-sensitive-question-anonymous-question.36220/,Anonymous Question,"Jan 3, 2013",2,"1,018",post-339772,thrivebodybalance,Member,11,0,21.0,"Jan 3, 2013 at 8:48 PM",0,0,0,0,0,0,0,0,#3,"The above response is probably a large part of it, where the physical and mental excitement, along with the hormones it release, can be similar to or mimic a fight or flight response. In these situations, and in bouts of physical activity, especially high intensity, which depending on how you masturbate may be part of the equation, your body knows it may be about to partake in rigorous physical activity, be it to run, fight, or have sex. So in response, your body releases glycogen (storage sugar) into the blood stream so that your muscles and other systems have it ready for use, especially if it is an emergency. The more excited you are, scared, or intensely active, the greater response may be made, thereby increasing your blood sugar levels.",
104984,thread-112360,Diabetes & vaping (no bashing please),https://www.diabetes.co.uk/forum/threads/diabetes-vaping-no-bashing-please.112360/,LDSmith,"Nov 30, 2016",4,"3,441",post-1320063,GrantGam,Type 1 Well-Known Member,"2,610","1,585",178.0,"Nov 30, 2016 at 3:54 PM",0,0,0,0,0,0,0,0,#5,"Hello @LDSmith , For your information, there is no such thing as a ""random spike"". There are always causes: incorrectly set basal, illness, stress, insulin that has lost potency, injection site issues, etc. Although the above does not relate directly to your ""vape"" concerns - it may well do you good do have a look through the past forum threads to see what can actually case a BG spike",LDSmith said: but must just be the usual random spikes. thanks for replying Click to expand...
117969,thread-103354,Diabetes Reversal,https://www.diabetes.co.uk/forum/threads/diabetes-reversal.103354/,carina62,"Jun 20, 2016",45,"2,756",post-1197799,KevinPotts,Type 2 Well-Known Member,"2,606","4,309",178.0,"Jul 7, 2016 at 6:24 AM",4,0,0,0,0,0,0,0,#40,Absolutely terrific...next question. An you turn this result into a lifestyle...would be great if you could Sent from my iPhone using DCUK Forum,"carina62 said: I have to share this, it has put a smile on my face I tested my BS before my evening meal tonight and my reading was.......5.9 I haven't seen this number since I was first diagnosed 5 years ago. I'm doing the Blood Sugar Diet with 5:2 and not only am I losing weight but most importantly my BS levels are lowering - long may it continue. Click to expand..."
34107,thread-154355,Abortion ?,https://www.diabetes.co.uk/forum/threads/abortion.154355/,livitridge,"Jul 23, 2018",11,581,post-1842088,livitridge,Type 1 Active Member,30,9,48.0,"Jul 23, 2018 at 10:41 AM",0,0,0,0,0,0,0,5,#3,Thanks! Im 22- Ive been diabetic 11 years. I am not in any way ready for a baby. I will be concentrating on my glucose control but for now I a most concerned about how I can end a pregnancy. I am worried sick that I am not eligible to take the medical abortion pill,Moggely said: Hi Livitridge I hope this doesn't sound like a lecture for it's not meant to be. You sound like your in a bit of a dilemma and I don't know how old you are but would you consider staying around this forum and getting advise from really knowledgeable people I am new myself but maybe the abortion is not the way to go but rather concentrate on your diabetes and controlling it with the help of some of these good people here. Sometimes having multiple problems can be so depressing and we can make poor choices one over the other so to speak I hope this has helped in some small way and wishing you all the best. Click to expand...
108324,thread-104769,Cgm funded or not,https://www.diabetes.co.uk/forum/threads/cgm-funded-or-not.104769/,Layah2013,"Jul 18, 2016",30,"2,074",post-1209894,My boy,Type 1 Active Member,36,18,48.0,"Jul 20, 2016 at 1:27 PM",0,0,0,0,0,0,0,0,#25,Hi what is cgm and how much is the system?? Xx Sent from my SM-G900F using Diabetes.co.uk Forum mobile app,
184185,thread-58711,What a shock !!,https://www.diabetes.co.uk/forum/threads/what-a-shock.58711/,koukla,"May 23, 2014",20,"2,168",post-549395,Daibell,LADA Master,"10,519","6,592",298.0,"May 23, 2014 at 9:31 AM",0,0,0,0,0,0,0,0,#14,"Hi. I can't comment on the effect of coffee but small things can trigger a short-term change in the metabolism. I wouldn't worry about it or stop the coffee. To continue to avoid medication you must control or continue to control the carbs; particularly if you are overweight and insulin resistant. If you are not overweight you may have deteriorating islet cells and, I'm afraid, will need medication at some future point. Are you overweight?",
202691,thread-46152,Auto immune problem causing problems with Type 2,https://www.diabetes.co.uk/forum/threads/auto-immune-problem-causing-problems-with-type-2.46152/,nicola3460,"Aug 20, 2013",4,935,post-418197,ElyDave,Type 1 Well-Known Member,"2,086","2,017",178.0,"Aug 24, 2013 at 3:58 PM",0,0,0,0,0,0,0,0,#5,It's one of the more significnat side effects of steroids. My son took them for a while to try and help with his epilepsy and we were asked to monitor his urine while he was on them.,Osidge said: Taking steroids can cause an increase in blood sugars and metformin can.be a trigger for the auto-immune condition. You may need a different diabetes medication. Regards. Doug Click to expand...
57282,thread-133716,Trying hard,https://www.diabetes.co.uk/forum/threads/trying-hard.133716/,Motherhen2014,"Jan 27, 2018",29,"1,646",post-1684359,pollensa,Guest,,,,"Jan 30, 2018 at 10:03 PM",0,0,0,0,0,0,0,0,#20,"Motherhen2014 said: Had a bad day today and totaled my carbs for the day 240 I really want to keep them below 100 but out to dinner today and served pasta but only had half of a smallish serving.I am concentrating on carbs and not calories am I doing right I really could do with your advice please.x Click to expand... Motherhen2014 said: Had a bad day today and totaled my carbs for the day 240 I really want to keep them below 100 but out to dinner today and served pasta but only had half of a smallish serving.I am concentrating on carbs and not calories am I doing right I really could do with your advice please.x Click to expand... Well, don't have pasta, you can always decline or if in a restaurant ask for extra veggies or big salad instead. pasta potatoes, rice and bread are 100% no no for any anyone pre or diabetic 2 to my knowledge. I have not eaten any for 12 months and sugars are absolutely normal normal normal not just odd day or consistently. Why eat low carb keto and see results. good luck Mallorca.",Motherhen2014 said: Had a bad day today and totaled my carbs for the day 240 I really want to keep them below 100 but out to dinner today and served pasta but only had half of a smallish serving.I am concentrating on carbs and not calories am I doing right I really could do with your advice please.x Click to expand... Motherhen2014 said: Had a bad day today and totaled my carbs for the day 240 I really want to keep them below 100 but out to dinner today and served pasta but only had half of a smallish serving.I am concentrating on carbs and not calories am I doing right I really could do with your advice please.x Click to expand...
134518,thread-90333,Alpha Lipoic Acid,https://www.diabetes.co.uk/forum/threads/alpha-lipoic-acid.90333/,Bewbushman,"Jan 9, 2016",44,"10,268",post-1027707,Oldvatr,Type 2 Well-Known Member,"4,306","2,783",198.0,"Jan 10, 2016 at 12:05 PM",0,0,0,0,0,0,0,0,#22,"Le R(+)ALA est trop cher, mon ami. Go for the cheapest. We need more posters here to validate their experience with this supplement, or are we all being conned? I have been taking the Swanson one for three months, and have not seen my neuropathy reduce yet. The only way to get your bag of bits verified is to gain access to a mass spectrometer, or zap it in the Large Hadron Collider at Cern. Or ask the seller nicely. Interesting that Germany has been doling these tabs out like candy, but there is no trials report from there that i can find so far. All i can find is sponsored reports in bodybuilding mags.","numan43 said: ok you two, is there any way i can verify which ""flavour"" i'm taking as i get it in a plastic bag on ebay, may be getting conned......btw i got an o level in french Click to expand..."
10785,thread-162139,Fruit - blueberries,https://www.diabetes.co.uk/forum/threads/fruit-blueberries.162139/,HSSS,"Mar 11, 2019",23,784,post-2005768,Robbity,Type 2 Expert,"5,526","11,987",198.0,"Mar 12, 2019 at 3:06 PM",0,0,0,0,0,0,0,0,#19,"I've always understood that blueberries were very high in antioxidants (one of the highest foods apparently) and that together with their vitamin C & K content would be why they were recommended. So sometimes it's not just the carb content but also a food's nutritional value that makes it ""low carb acceptable"". I quite enjoy a few blueberries occasionally but would never choose to eat 100g worth in one go - I tend to agree with @Brunneria regarding small/tiny quantities. If I was particularly concerned about fructose I'd be checking my vegetables as well, e.g. seedy ones like tomatoes, courgettes, peas. Google has pointers to various lists that can be very useful in making informed low carb choices. Robbity",
6066,thread-163662,About the target limits of readings,https://www.diabetes.co.uk/forum/threads/about-the-target-limits-of-readings.163662/,erenta,"Apr 25, 2019",6,230,post-2036535,erenta,Prediabetes Member,6,0,21.0,"Apr 25, 2019 at 4:02 PM",0,1,0,0,0,0,0,0,#5,"Yes, that's what I thought. I'd like to be in the normal range again, therefore I'll be more strict with my target. Thanks",
219656,thread-33150,Blood readings to high,https://www.diabetes.co.uk/forum/threads/blood-readings-to-high.33150/,Whiting50,"Sep 20, 2012",1,585,post-311698,Whiting50,Newbie,1,0,21.0,"Sep 20, 2012 at 11:26 PM",0,0,0,0,0,0,0,0,#1,Now I take tablets and injections and am still not able to get my readings down. What I I doing wrong my last read was 15.8. Can anyone help please.,
241547,thread-18899,alcohol and insulin with Type 1,https://www.diabetes.co.uk/forum/threads/alcohol-and-insulin-with-type-1.18899/,busibee,"Jan 14, 2011",10,"1,724",post-173069,HLW,Type 1 Well-Known Member,723,6,58.0,"Jan 18, 2011 at 9:42 PM",0,0,0,0,0,0,0,0,#10,"Re: Is it a good idea to use alcohol to bring down blood sug The fact he has diabetes is irrelevant. He is using it as an excuse to be abusive. He tried to attack your son, and scared you so much you had to hide away. Don't let him blame that on diabetes. You don't have to do anything to help him control his diabetes. It's not your responsibility, no matter what the nurses imply. It's his responsibility. It shouldn't have to impact on your life at all. I couldn't imagine forcing the role of a carer on someone like that. I'd hate to think if I was in a relationship my partner would automatically become my carer, and have to look after me and out up with me attacking them, just because I have diabetes.",busibee said: My husband's type 1 diabetes is a tremendous strain almost constantly now. He uses alcohol to bring down his blood sugar levels and is often very difficult. Click to expand...
33033,thread-154705,Effect On Blood Sugar Levels After Stopping Contraceptive Pill,https://www.diabetes.co.uk/forum/threads/effect-on-blood-sugar-levels-after-stopping-contraceptive-pill.154705/,lyndsayob,"Jul 30, 2018",3,471,post-1849938,NaomiT,Member,20,24,3.0,"Aug 2, 2018 at 1:51 PM",0,0,0,1,0,0,0,0,#2,"No idea, but if this is a 'thing' I look forward to stopping the pill!",
90401,thread-119145,How many carbs per meal?,https://www.diabetes.co.uk/forum/threads/how-many-carbs-per-meal.119145/,Woee,"Apr 9, 2017",17,"3,413",post-1434947,AM1874,Type 2 Well-Known Member,"1,386","3,220",178.0,"Apr 9, 2017 at 2:11 PM",1,0,0,0,0,0,0,0,#15,Hi @CherryAA .. Thanks for info but at 10 a test it seems too expensive for me. I think I'll stick with my 3 to 5 times daily testing and my spreadsheet for now .. then confirm or re-adjust as necessary at my quarterly reviews,"CherryAA said: Hi, I noticed that your hba1C is a calculated number , I buy these tests- it says professional users only for the ten tests - but they know I'm not professional and they asked me if I would give them a testimonial so it doesn't seem that they mind. That makes them abut 10 each which isn't too bad. the expiry date on mine is a few months , I test one a fortnight when I change my libre freestyle https://www.bhr.co.uk/professional-products Click to expand..."
169196,thread-66431,Insulin inevitable?,https://www.diabetes.co.uk/forum/threads/insulin-inevitable.66431/,chaylabling,"Oct 27, 2014",10,"1,216",post-663257,martinsk8r,Type 2 Member,19,22,43.0,"Oct 27, 2014 at 2:03 PM",2,0,0,0,0,0,0,0,#3,"Hi, Sorry to hear of your concerns. I have been diagnosed as Type 2 diabetic for about 10 years and my levels were slowly creeping up despite Metformin,trying harder with diet, and going on to Gliklazide. I hated this one! I was feeling very tired after meals and very hungry all of the time. I begged to go on Insulin and was allowed to have Humulin M3 which is a 30/70 mix of fast/slow acting insulin. It gave me my life back and I am now happily jabbing away morning and evening. My last Hba1c was 7.4. It seems that I have insulin resistance. I hope you don't have to go down this route but insulin was the best thing since sliced bread for me!! My advice is to try hard with the LCHF diet and don't worry about the future medications.",
